Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
2025-05-16,Transaction at BigBazaar,4965.3,Grocery,Debit Card,Chicago,Credit Card,Credit,POS Terminal,INR,Restaurant,No,Friday,May,Night
2025-05-19,Transaction at HP,1782.57,Electronics,UPI,Boston,Credit Card,Credit,POS Terminal,INR,Online Store,No,Monday,May,Evening
2025-03-07,Transaction at Dominos,215.31,Food,Credit Card,Houston,Credit Card,Debit,Mobile,INR,Restaurant,No,Friday,March,Evening
2025-05-10,Transaction at BigBazaar,1230.71,Grocery,Credit Card,Houston,Salary,Debit,POS Terminal,INR,Service,No,Saturday,May,Afternoon
2025-11-14,Transaction at Disney+,3654.25,Entertainment,Credit Card,Boston,Salary,Debit,ATM,INR,Online Store,Yes,Friday,November,Afternoon
2025-06-06,Transaction at Nike,1508.05,Clothing,Credit Card,Houston,Salary,Debit,Mobile,INR,Online Store,No,Friday,June,Evening
2025-08-20,Transaction at Levis,836.93,Clothing,Credit Card,Boston,Credit Card,Credit,Mobile,INR,Subscription,Yes,Wednesday,August,Night
2025-06-17,Transaction at KFC,1342.0,Food,Cash,Boston,Savings,Credit,POS Terminal,INR,Online Store,No,Tuesday,June,Afternoon
2025-01-14,Transaction at HP,4701.41,Electronics,UPI,New York,Savings,Debit,POS Terminal,INR,Service,Yes,Tuesday,January,Night
2025-05-28,Transaction at Sony,2060.15,Electronics,UPI,New York,Credit Card,Debit,Mobile,INR,Online Store,Yes,Wednesday,May,Night
2025-04-20,Transaction at Dell,3544.94,Electronics,Debit Card,Chicago,Credit Card,Debit,Mobile,INR,Service,No,Sunday,April,Morning
2025-11-20,Transaction at RedBus,4082.93,Transport,Credit Card,Houston,Salary,Credit,POS Terminal,INR,Subscription,Yes,Thursday,November,Afternoon
2025-10-28,Transaction at Walmart,1434.01,Grocery,Net Banking,Chicago,Savings,Credit,Desktop,INR,Retail,Yes,Tuesday,October,Afternoon
2025-01-12,Transaction at Subway,4141.89,Food,Credit Card,Boston,Current,Debit,Desktop,INR,Restaurant,No,Sunday,January,Night
2025-03-31,Transaction at YouTube Premium,3935.19,Entertainment,Credit Card,Chicago,Credit Card,Debit,Desktop,INR,Retail,Yes,Monday,March,Morning
2025-11-08,Transaction at Ola,1752.69,Transport,Debit Card,Houston,Current,Debit,POS Terminal,INR,Service,Yes,Saturday,November,Morning
2025-12-16,Transaction at Sony,4163.18,Electronics,Cash,Chicago,Current,Debit,POS Terminal,INR,Retail,No,Tuesday,December,Morning
2025-12-25,Transaction at Dominos,1377.9,Food,Debit Card,Los Angeles,Savings,Debit,ATM,INR,Service,Yes,Thursday,December,Afternoon
2025-01-04,Transaction at Subway,358.67,Food,UPI,Houston,Credit Card,Debit,Mobile,INR,Retail,No,Saturday,January,Afternoon
2025-06-20,Transaction at Sony,4706.81,Electronics,Debit Card,Chicago,Current,Credit,ATM,INR,Online Store,No,Friday,June,Morning
2025-10-30,Transaction at Nike,2960.05,Clothing,Credit Card,Houston,Credit Card,Credit,Mobile,INR,Retail,No,Thursday,October,Night
2025-08-13,Transaction at Amazon Prime,1318.84,Entertainment,Debit Card,San Francisco,Savings,Debit,Desktop,INR,Online Store,Yes,Wednesday,August,Afternoon
2025-08-30,Transaction at Nike,4711.72,Clothing,Credit Card,San Francisco,Credit Card,Debit,Mobile,INR,Restaurant,No,Saturday,August,Night
2025-05-28,Transaction at YouTube Premium,268.28,Entertainment,UPI,San Francisco,Credit Card,Debit,Desktop,INR,Subscription,Yes,Wednesday,May,Afternoon
2025-06-10,Transaction at Disney+,1659.03,Entertainment,Cash,New York,Credit Card,Debit,ATM,INR,Subscription,Yes,Tuesday,June,Afternoon
2025-03-15,Transaction at Spotify,2579.39,Entertainment,Credit Card,Los Angeles,Credit Card,Debit,ATM,INR,Service,Yes,Saturday,March,Evening
2025-10-31,Transaction at McDonalds,1598.09,Food,Credit Card,San Francisco,Current,Credit,Desktop,INR,Service,No,Friday,October,Afternoon
2025-11-12,Transaction at RedBus,4082.13,Transport,Credit Card,New York,Credit Card,Debit,Desktop,INR,Subscription,Yes,Wednesday,November,Night
2025-04-27,Transaction at H&M,4459.83,Clothing,Credit Card,Houston,Salary,Debit,ATM,INR,Service,Yes,Sunday,April,Evening
2025-02-24,Transaction at Samsung,4826.92,Electronics,Cash,Chicago,Current,Credit,ATM,INR,Subscription,No,Monday,February,Morning
2025-04-19,Transaction at Lyft,140.41,Transport,Debit Card,Chicago,Salary,Credit,ATM,INR,Retail,No,Saturday,April,Night
2025-12-19,Transaction at Starbucks,2234.78,Food,Cash,Chicago,Salary,Debit,ATM,INR,Retail,Yes,Friday,December,Afternoon
2025-03-22,Transaction at Netflix,1056.3,Entertainment,Debit Card,San Francisco,Current,Credit,POS Terminal,INR,Service,No,Saturday,March,Night
2025-03-03,Transaction at Nike,2706.97,Clothing,Debit Card,Boston,Salary,Credit,ATM,INR,Subscription,Yes,Monday,March,Evening
2025-01-26,Transaction at Tesco,1729.35,Grocery,Credit Card,Los Angeles,Savings,Debit,Desktop,INR,Service,Yes,Sunday,January,Morning
2025-05-14,Transaction at KFC,3674.94,Food,Credit Card,San Francisco,Current,Credit,POS Terminal,INR,Service,Yes,Wednesday,May,Night
2025-11-28,Transaction at YouTube Premium,625.76,Entertainment,Credit Card,New York,Current,Debit,Desktop,INR,Online Store,Yes,Friday,November,Evening
2025-11-15,Transaction at Dell,723.83,Electronics,Cash,Los Angeles,Salary,Credit,Mobile,INR,Online Store,No,Saturday,November,Evening
2025-04-05,Transaction at RedBus,4365.46,Transport,Debit Card,San Francisco,Current,Credit,Mobile,INR,Retail,No,Saturday,April,Morning
2025-03-10,Transaction at Subway,3090.22,Food,Net Banking,Boston,Savings,Debit,ATM,INR,Service,Yes,Monday,March,Evening
2025-06-20,Transaction at H&M,1668.55,Clothing,Net Banking,Houston,Current,Credit,Desktop,INR,Restaurant,No,Friday,June,Night
2025-09-14,Transaction at Lyft,3144.06,Transport,UPI,Houston,Savings,Credit,ATM,INR,Restaurant,No,Sunday,September,Afternoon
2025-08-19,Transaction at Levis,1537.89,Clothing,Credit Card,Los Angeles,Salary,Credit,Mobile,INR,Service,No,Tuesday,August,Morning
2025-01-12,Transaction at Target,3689.6,Grocery,UPI,Los Angeles,Current,Credit,Desktop,INR,Subscription,Yes,Sunday,January,Morning
2025-05-08,Transaction at Subway,4131.54,Food,Net Banking,New York,Credit Card,Debit,POS Terminal,INR,Restaurant,Yes,Thursday,May,Night
2025-09-27,Transaction at Amazon Prime,348.95,Entertainment,Net Banking,Chicago,Salary,Credit,POS Terminal,INR,Retail,No,Saturday,September,Night
2025-05-01,Transaction at KFC,2740.73,Food,Credit Card,San Francisco,Credit Card,Credit,ATM,INR,Subscription,Yes,Thursday,May,Evening
2025-04-06,Transaction at Adidas,1093.89,Clothing,Cash,New York,Current,Debit,ATM,INR,Online Store,Yes,Sunday,April,Evening
2025-08-07,Transaction at Subway,3185.83,Food,Cash,Houston,Savings,Credit,Desktop,INR,Online Store,No,Thursday,August,Morning
2025-02-07,Transaction at Ola,4202.66,Transport,Debit Card,Chicago,Salary,Debit,POS Terminal,INR,Subscription,No,Friday,February,Evening
2025-11-04,Transaction at YouTube Premium,3384.08,Entertainment,UPI,New York,Savings,Credit,Desktop,INR,Restaurant,Yes,Tuesday,November,Evening
2025-06-19,Transaction at Tesco,2266.43,Grocery,Debit Card,New York,Credit Card,Credit,Mobile,INR,Service,Yes,Thursday,June,Evening
2025-07-24,Transaction at Walmart,508.14,Grocery,Debit Card,San Francisco,Savings,Debit,ATM,INR,Restaurant,No,Thursday,July,Night
2025-04-06,Transaction at Netflix,3904.42,Entertainment,Cash,Houston,Current,Debit,POS Terminal,INR,Retail,No,Sunday,April,Evening
2025-09-17,Transaction at McDonalds,3193.69,Food,Debit Card,San Francisco,Salary,Debit,POS Terminal,INR,Service,Yes,Wednesday,September,Afternoon
2025-05-15,Transaction at Starbucks,1502.69,Food,UPI,New York,Salary,Credit,Desktop,INR,Retail,Yes,Thursday,May,Night
2025-11-18,Transaction at Netflix,2920.49,Entertainment,Credit Card,New York,Credit Card,Debit,ATM,INR,Retail,No,Tuesday,November,Evening
2025-05-07,Transaction at Nike,669.21,Clothing,UPI,New York,Credit Card,Debit,POS Terminal,INR,Restaurant,Yes,Wednesday,May,Afternoon
2025-04-19,Transaction at Costco,2498.8,Grocery,Debit Card,New York,Salary,Debit,ATM,INR,Service,No,Saturday,April,Night
2025-03-13,Transaction at Levis,4921.12,Clothing,Credit Card,San Francisco,Credit Card,Debit,ATM,INR,Online Store,Yes,Thursday,March,Night
2025-10-31,Transaction at YouTube Premium,3342.09,Entertainment,UPI,Boston,Savings,Debit,Mobile,INR,Online Store,No,Friday,October,Afternoon
2025-12-16,Transaction at RedBus,3219.24,Transport,Debit Card,Houston,Salary,Credit,ATM,INR,Online Store,No,Tuesday,December,Night
2025-07-10,Transaction at Metro,2132.88,Transport,Net Banking,Los Angeles,Credit Card,Credit,POS Terminal,INR,Retail,Yes,Thursday,July,Afternoon
2025-06-20,Transaction at Subway,301.31,Food,UPI,Houston,Current,Credit,POS Terminal,INR,Online Store,No,Friday,June,Morning
2025-03-27,Transaction at Ola,4656.75,Transport,UPI,Houston,Credit Card,Credit,Mobile,INR,Online Store,No,Thursday,March,Night
2025-06-11,Transaction at Samsung,1201.72,Electronics,Debit Card,Boston,Salary,Debit,Mobile,INR,Restaurant,Yes,Wednesday,June,Afternoon
2025-11-12,Transaction at Apple,943.74,Electronics,Cash,Boston,Salary,Debit,ATM,INR,Subscription,No,Wednesday,November,Afternoon
2025-05-18,Transaction at Zara,1550.68,Clothing,Debit Card,New York,Current,Credit,Mobile,INR,Service,No,Sunday,May,Morning
2025-11-03,Transaction at Dell,4646.21,Electronics,Credit Card,New York,Credit Card,Credit,Desktop,INR,Restaurant,No,Monday,November,Night
2025-04-07,Transaction at McDonalds,2442.06,Food,UPI,San Francisco,Savings,Credit,Desktop,INR,Online Store,Yes,Monday,April,Evening
2025-03-26,Transaction at HP,619.2,Electronics,Net Banking,San Francisco,Current,Debit,POS Terminal,INR,Retail,No,Wednesday,March,Night
2025-10-14,Transaction at Tesco,1981.04,Grocery,Cash,San Francisco,Credit Card,Credit,Desktop,INR,Subscription,Yes,Tuesday,October,Night
2025-01-14,Transaction at H&M,3186.77,Clothing,UPI,New York,Savings,Credit,POS Terminal,INR,Subscription,No,Tuesday,January,Morning
2025-10-27,Transaction at Ola,4455.53,Transport,Cash,New York,Salary,Credit,Desktop,INR,Online Store,No,Monday,October,Evening
2025-03-10,Transaction at Tesco,4466.48,Grocery,UPI,San Francisco,Current,Credit,POS Terminal,INR,Restaurant,No,Monday,March,Evening
2025-11-01,Transaction at BigBazaar,4150.09,Grocery,UPI,Boston,Credit Card,Debit,POS Terminal,INR,Retail,No,Saturday,November,Evening
2025-09-21,Transaction at Tesco,4010.54,Grocery,Debit Card,Houston,Savings,Debit,ATM,INR,Subscription,Yes,Sunday,September,Night
2025-07-13,Transaction at YouTube Premium,794.21,Entertainment,Debit Card,Boston,Credit Card,Credit,Desktop,INR,Subscription,Yes,Sunday,July,Morning
2025-06-19,Transaction at Tesco,2888.46,Grocery,Net Banking,Chicago,Savings,Debit,Desktop,INR,Service,Yes,Thursday,June,Afternoon
2025-12-24,Transaction at Dell,4540.87,Electronics,Net Banking,San Francisco,Salary,Debit,ATM,INR,Retail,No,Wednesday,December,Night
2025-11-17,Transaction at Costco,454.64,Grocery,Credit Card,Chicago,Current,Debit,Mobile,INR,Subscription,Yes,Monday,November,Evening
2025-04-08,Transaction at Samsung,4076.91,Electronics,UPI,Los Angeles,Salary,Credit,ATM,INR,Restaurant,No,Tuesday,April,Afternoon
2025-04-15,Transaction at Dell,1849.09,Electronics,Net Banking,San Francisco,Savings,Credit,Mobile,INR,Restaurant,Yes,Tuesday,April,Night
2025-12-19,Transaction at Ola,4748.35,Transport,Net Banking,Chicago,Current,Debit,Mobile,INR,Restaurant,Yes,Friday,December,Evening
2025-11-20,Transaction at Lyft,2890.79,Transport,Net Banking,New York,Credit Card,Credit,ATM,INR,Online Store,No,Thursday,November,Afternoon
2025-08-03,Transaction at Subway,3301.75,Food,Credit Card,Los Angeles,Salary,Debit,POS Terminal,INR,Retail,No,Sunday,August,Night
2025-01-20,Transaction at Adidas,1317.91,Clothing,Credit Card,Boston,Current,Credit,ATM,INR,Service,No,Monday,January,Afternoon
2025-11-03,Transaction at Dominos,4865.62,Food,Credit Card,Boston,Salary,Debit,Desktop,INR,Subscription,No,Monday,November,Morning
2025-02-09,Transaction at Subway,3514.97,Food,Credit Card,Chicago,Savings,Debit,Desktop,INR,Retail,Yes,Sunday,February,Night
2025-04-01,Transaction at Apple,348.91,Electronics,Debit Card,Boston,Salary,Credit,ATM,INR,Restaurant,Yes,Tuesday,April,Evening
2025-10-05,Transaction at Levis,737.86,Clothing,Net Banking,Boston,Credit Card,Credit,Mobile,INR,Subscription,No,Sunday,October,Night
2025-05-23,Transaction at Dominos,2523.13,Food,UPI,San Francisco,Current,Credit,POS Terminal,INR,Subscription,Yes,Friday,May,Evening
2025-01-05,Transaction at McDonalds,156.95,Food,Credit Card,San Francisco,Savings,Credit,POS Terminal,INR,Restaurant,No,Sunday,January,Night
2025-11-08,Transaction at Ola,1992.26,Transport,Debit Card,Chicago,Salary,Debit,POS Terminal,INR,Restaurant,Yes,Saturday,November,Morning
2025-09-03,Transaction at Starbucks,2077.22,Food,Credit Card,New York,Savings,Credit,Mobile,INR,Online Store,Yes,Wednesday,September,Evening
2025-12-26,Transaction at H&M,4049.73,Clothing,UPI,Houston,Credit Card,Debit,Desktop,INR,Service,No,Friday,December,Night
2025-10-11,Transaction at H&M,4045.12,Clothing,Debit Card,Boston,Salary,Debit,Mobile,INR,Retail,Yes,Saturday,October,Afternoon
2025-06-20,Transaction at Starbucks,2109.98,Food,Credit Card,Los Angeles,Salary,Debit,Mobile,INR,Online Store,No,Friday,June,Evening
2025-03-31,Transaction at Netflix,1485.32,Entertainment,Debit Card,New York,Savings,Debit,ATM,INR,Online Store,Yes,Monday,March,Morning
2025-01-09,Transaction at RedBus,1261.1,Transport,Credit Card,Houston,Credit Card,Debit,POS Terminal,INR,Retail,No,Thursday,January,Morning
2025-07-23,Transaction at Levis,2710.28,Clothing,Debit Card,San Francisco,Savings,Credit,POS Terminal,INR,Online Store,No,Wednesday,July,Afternoon
2025-05-20,Transaction at Amazon Prime,797.99,Entertainment,Net Banking,Chicago,Salary,Debit,Mobile,INR,Online Store,Yes,Tuesday,May,Night
2025-08-25,Transaction at Netflix,1761.56,Entertainment,Net Banking,Boston,Savings,Credit,POS Terminal,INR,Subscription,Yes,Monday,August,Night
2025-05-18,Transaction at RedBus,1746.07,Transport,Net Banking,Los Angeles,Credit Card,Credit,ATM,INR,Restaurant,No,Sunday,May,Morning
2025-09-05,Transaction at Uber,3630.18,Transport,Net Banking,Boston,Savings,Debit,Mobile,INR,Retail,Yes,Friday,September,Night
2025-09-07,Transaction at H&M,2394.74,Clothing,Net Banking,New York,Current,Credit,Mobile,INR,Service,No,Sunday,September,Afternoon
2025-12-05,Transaction at Dominos,4186.02,Food,Cash,Boston,Savings,Debit,Mobile,INR,Retail,Yes,Friday,December,Night
2025-04-02,Transaction at Dominos,2542.9,Food,Debit Card,Los Angeles,Credit Card,Debit,Desktop,INR,Online Store,No,Wednesday,April,Morning
2025-03-01,Transaction at Tesco,4146.73,Grocery,Debit Card,Boston,Current,Credit,Mobile,INR,Subscription,Yes,Saturday,March,Afternoon
2025-09-05,Transaction at Apple,3739.99,Electronics,Credit Card,Houston,Salary,Credit,Mobile,INR,Restaurant,No,Friday,September,Night
2025-01-13,Transaction at Tesco,1024.07,Grocery,Debit Card,New York,Credit Card,Credit,ATM,INR,Retail,Yes,Monday,January,Afternoon
2025-08-18,Transaction at McDonalds,1989.95,Food,Debit Card,New York,Current,Credit,Mobile,INR,Retail,Yes,Monday,August,Morning
2025-01-24,Transaction at Subway,484.28,Food,UPI,Boston,Salary,Debit,Mobile,INR,Retail,No,Friday,January,Afternoon
2025-03-16,Transaction at Disney+,4751.57,Entertainment,Net Banking,Chicago,Salary,Debit,ATM,INR,Subscription,No,Sunday,March,Morning
2025-09-09,Transaction at Disney+,1691.14,Entertainment,Debit Card,Houston,Salary,Credit,POS Terminal,INR,Retail,Yes,Tuesday,September,Afternoon
2025-11-09,Transaction at Samsung,3239.86,Electronics,Credit Card,New York,Savings,Debit,Desktop,INR,Retail,Yes,Sunday,November,Evening
2025-01-06,Transaction at BigBazaar,4527.11,Grocery,UPI,Houston,Salary,Debit,POS Terminal,INR,Online Store,No,Monday,January,Night
2025-09-08,Transaction at Apple,3791.5,Electronics,Credit Card,Los Angeles,Current,Debit,Mobile,INR,Retail,No,Monday,September,Night
2025-07-21,Transaction at Spotify,4693.75,Entertainment,Debit Card,Chicago,Salary,Credit,Desktop,INR,Service,Yes,Monday,July,Evening
2025-07-26,Transaction at Amazon Prime,2414.21,Entertainment,UPI,Boston,Salary,Credit,ATM,INR,Service,Yes,Saturday,July,Afternoon
2025-12-01,Transaction at Walmart,3563.1,Grocery,Cash,San Francisco,Current,Credit,Mobile,INR,Subscription,No,Monday,December,Night
2025-01-15,Transaction at BigBazaar,4999.87,Grocery,Credit Card,Los Angeles,Current,Debit,ATM,INR,Retail,Yes,Wednesday,January,Night
2025-11-14,Transaction at YouTube Premium,4657.98,Entertainment,Credit Card,Los Angeles,Salary,Debit,ATM,INR,Retail,Yes,Friday,November,Afternoon
2025-06-20,Transaction at Subway,3077.11,Food,Cash,Houston,Salary,Credit,Desktop,INR,Online Store,No,Friday,June,Morning
2025-08-20,Transaction at Subway,687.0,Food,Net Banking,Los Angeles,Salary,Credit,Mobile,INR,Online Store,No,Wednesday,August,Night
2025-05-01,Transaction at Spotify,3711.94,Entertainment,Cash,Boston,Salary,Credit,ATM,INR,Service,Yes,Thursday,May,Morning
2025-01-27,Transaction at Dominos,1991.97,Food,UPI,Houston,Salary,Debit,POS Terminal,INR,Online Store,No,Monday,January,Afternoon
2025-03-13,Transaction at HP,1270.82,Electronics,Net Banking,Boston,Salary,Debit,POS Terminal,INR,Online Store,Yes,Thursday,March,Evening
2025-08-24,Transaction at Zara,163.91,Clothing,UPI,Boston,Credit Card,Debit,ATM,INR,Service,Yes,Sunday,August,Night
2025-05-22,Transaction at HP,374.82,Electronics,Net Banking,Chicago,Current,Credit,POS Terminal,INR,Subscription,No,Thursday,May,Evening
2025-05-04,Transaction at Spotify,2168.19,Entertainment,Debit Card,Houston,Current,Credit,Desktop,INR,Restaurant,Yes,Sunday,May,Evening
2025-01-14,Transaction at Metro,3144.72,Transport,UPI,New York,Salary,Credit,Desktop,INR,Subscription,No,Tuesday,January,Morning
2025-11-28,Transaction at HP,3744.9,Electronics,Cash,Boston,Current,Debit,ATM,INR,Subscription,Yes,Friday,November,Night
2025-09-24,Transaction at Apple,619.53,Electronics,Net Banking,New York,Salary,Debit,Desktop,INR,Subscription,Yes,Wednesday,September,Afternoon
2025-01-02,Transaction at Zara,1881.96,Clothing,Cash,Houston,Credit Card,Debit,POS Terminal,INR,Restaurant,No,Thursday,January,Afternoon
2025-02-12,Transaction at Dominos,2545.43,Food,Cash,Boston,Credit Card,Credit,POS Terminal,INR,Online Store,No,Wednesday,February,Evening
2025-04-05,Transaction at Dell,1585.65,Electronics,Cash,Chicago,Salary,Credit,ATM,INR,Subscription,No,Saturday,April,Morning
2025-11-03,Transaction at Spotify,3521.02,Entertainment,Net Banking,Houston,Current,Debit,POS Terminal,INR,Retail,Yes,Monday,November,Morning
2025-08-08,Transaction at RedBus,4723.46,Transport,Cash,Los Angeles,Salary,Debit,POS Terminal,INR,Online Store,Yes,Friday,August,Night
2025-07-18,Transaction at Walmart,3104.12,Grocery,UPI,Chicago,Savings,Credit,Mobile,INR,Retail,Yes,Friday,July,Night
2025-10-13,Transaction at Adidas,3153.69,Clothing,UPI,Chicago,Salary,Credit,Mobile,INR,Online Store,No,Monday,October,Night
2025-08-25,Transaction at Ola,4773.29,Transport,Debit Card,San Francisco,Credit Card,Debit,Desktop,INR,Online Store,No,Monday,August,Afternoon
2025-02-16,Transaction at Tesco,137.3,Grocery,UPI,Boston,Credit Card,Debit,Desktop,INR,Retail,No,Sunday,February,Night
2025-04-15,Transaction at Uber,2607.84,Transport,Credit Card,Los Angeles,Savings,Credit,ATM,INR,Restaurant,Yes,Tuesday,April,Afternoon
2025-05-05,Transaction at Lyft,3977.82,Transport,UPI,Houston,Savings,Credit,Mobile,INR,Service,Yes,Monday,May,Morning
2025-09-20,Transaction at Disney+,640.77,Entertainment,Cash,Chicago,Salary,Debit,Desktop,INR,Online Store,Yes,Saturday,September,Morning
2025-05-29,Transaction at BigBazaar,3556.81,Grocery,UPI,Los Angeles,Current,Credit,POS Terminal,INR,Retail,Yes,Thursday,May,Afternoon
2025-07-01,Transaction at HP,2130.4,Electronics,UPI,New York,Credit Card,Credit,POS Terminal,INR,Retail,No,Tuesday,July,Morning
2025-01-26,Transaction at Levis,641.41,Clothing,Net Banking,Chicago,Savings,Debit,ATM,INR,Restaurant,No,Sunday,January,Afternoon
2025-08-14,Transaction at BigBazaar,3838.12,Grocery,Credit Card,Los Angeles,Savings,Debit,Desktop,INR,Service,Yes,Thursday,August,Afternoon
2025-06-07,Transaction at Uber,572.39,Transport,Credit Card,Chicago,Credit Card,Credit,POS Terminal,INR,Online Store,No,Saturday,June,Night
2025-03-12,Transaction at H&M,1159.92,Clothing,Cash,Chicago,Salary,Credit,Desktop,INR,Retail,No,Wednesday,March,Morning
2025-05-15,Transaction at Dominos,3980.96,Food,Cash,New York,Salary,Credit,POS Terminal,INR,Service,No,Thursday,May,Morning
2025-09-13,Transaction at Subway,1730.43,Food,Cash,Boston,Savings,Credit,Desktop,INR,Subscription,Yes,Saturday,September,Evening
2025-02-28,Transaction at BigBazaar,2522.03,Grocery,Credit Card,San Francisco,Savings,Credit,Mobile,INR,Restaurant,No,Friday,February,Evening
2025-03-15,Transaction at Dell,3780.02,Electronics,UPI,Los Angeles,Current,Debit,Mobile,INR,Online Store,Yes,Saturday,March,Evening
2025-07-30,Transaction at Apple,4201.11,Electronics,Cash,Chicago,Savings,Credit,Mobile,INR,Retail,Yes,Wednesday,July,Evening
2025-09-17,Transaction at Dell,1674.92,Electronics,Cash,Los Angeles,Credit Card,Debit,Mobile,INR,Subscription,No,Wednesday,September,Evening
2025-03-14,Transaction at HP,467.08,Electronics,Net Banking,Los Angeles,Credit Card,Credit,POS Terminal,INR,Subscription,Yes,Friday,March,Afternoon
2025-11-09,Transaction at Target,385.18,Grocery,UPI,Chicago,Salary,Credit,Mobile,INR,Restaurant,No,Sunday,November,Morning
2025-09-12,Transaction at HP,4373.14,Electronics,Cash,Los Angeles,Salary,Credit,Mobile,INR,Online Store,No,Friday,September,Night
2025-01-19,Transaction at Metro,4239.97,Transport,Credit Card,Boston,Current,Credit,ATM,INR,Online Store,Yes,Sunday,January,Night
2025-06-28,Transaction at Lyft,3987.52,Transport,UPI,Los Angeles,Salary,Credit,Desktop,INR,Subscription,No,Saturday,June,Evening
2025-06-02,Transaction at Ola,779.95,Transport,Debit Card,Boston,Savings,Debit,Desktop,INR,Subscription,No,Monday,June,Evening
2025-09-30,Transaction at Walmart,3612.56,Grocery,UPI,Los Angeles,Credit Card,Credit,POS Terminal,INR,Service,Yes,Tuesday,September,Afternoon
2025-01-17,Transaction at Netflix,2766.21,Entertainment,Cash,Los Angeles,Current,Debit,Desktop,INR,Retail,No,Friday,January,Night
2025-11-05,Transaction at BigBazaar,4329.42,Grocery,Cash,San Francisco,Current,Credit,POS Terminal,INR,Restaurant,Yes,Wednesday,November,Night
2025-01-02,Transaction at Starbucks,1279.9,Food,Net Banking,Los Angeles,Savings,Debit,ATM,INR,Online Store,Yes,Thursday,January,Night
2025-09-05,Transaction at H&M,3898.26,Clothing,UPI,Boston,Salary,Credit,Desktop,INR,Subscription,Yes,Friday,September,Night
2025-11-20,Transaction at Tesco,115.35,Grocery,UPI,San Francisco,Salary,Debit,Desktop,INR,Service,Yes,Thursday,November,Evening
2025-06-01,Transaction at Zara,3402.46,Clothing,Credit Card,Houston,Salary,Debit,POS Terminal,INR,Retail,No,Sunday,June,Evening
2025-12-01,Transaction at Lyft,4963.8,Transport,Net Banking,New York,Salary,Debit,Desktop,INR,Retail,No,Monday,December,Morning
2025-10-11,Transaction at BigBazaar,4674.04,Grocery,Cash,San Francisco,Savings,Credit,POS Terminal,INR,Restaurant,No,Saturday,October,Night
2025-07-20,Transaction at Dell,1871.43,Electronics,Credit Card,San Francisco,Salary,Credit,Desktop,INR,Online Store,No,Sunday,July,Evening
2025-08-28,Transaction at Adidas,2532.52,Clothing,Credit Card,Houston,Savings,Debit,Desktop,INR,Subscription,No,Thursday,August,Night
2025-05-27,Transaction at Amazon Prime,1253.63,Entertainment,UPI,Houston,Current,Debit,Mobile,INR,Online Store,Yes,Tuesday,May,Night
2025-01-16,Transaction at Apple,3665.29,Electronics,Net Banking,San Francisco,Current,Debit,Desktop,INR,Restaurant,Yes,Thursday,January,Afternoon
2025-12-10,Transaction at Tesco,858.21,Grocery,UPI,Chicago,Credit Card,Credit,ATM,INR,Retail,No,Wednesday,December,Night
2025-05-22,Transaction at McDonalds,1887.38,Food,Net Banking,New York,Salary,Credit,POS Terminal,INR,Retail,Yes,Thursday,May,Afternoon
2025-05-24,Transaction at Zara,4849.0,Clothing,Debit Card,Chicago,Current,Debit,ATM,INR,Restaurant,No,Saturday,May,Night
2025-08-02,Transaction at Amazon Prime,3116.78,Entertainment,Net Banking,Los Angeles,Salary,Debit,ATM,INR,Retail,Yes,Saturday,August,Afternoon
2025-02-28,Transaction at Target,1930.5,Grocery,Cash,Houston,Savings,Debit,Desktop,INR,Online Store,Yes,Friday,February,Morning
2025-05-02,Transaction at RedBus,1452.05,Transport,Credit Card,Boston,Current,Debit,POS Terminal,INR,Retail,No,Friday,May,Night
2025-10-20,Transaction at Dominos,3692.58,Food,UPI,Los Angeles,Salary,Debit,ATM,INR,Retail,Yes,Monday,October,Night
2025-05-27,Transaction at McDonalds,4428.17,Food,Credit Card,Houston,Salary,Debit,Mobile,INR,Online Store,Yes,Tuesday,May,Evening
2025-05-24,Transaction at Disney+,1766.08,Entertainment,UPI,San Francisco,Credit Card,Credit,Mobile,INR,Service,No,Saturday,May,Morning
2025-01-03,Transaction at McDonalds,2643.75,Food,Debit Card,Houston,Salary,Debit,Desktop,INR,Subscription,No,Friday,January,Afternoon
2025-10-22,Transaction at RedBus,2044.55,Transport,UPI,Houston,Current,Debit,ATM,INR,Subscription,No,Wednesday,October,Night
2025-06-29,Transaction at Tesco,603.01,Grocery,Credit Card,San Francisco,Credit Card,Debit,POS Terminal,INR,Retail,No,Sunday,June,Evening
2025-01-14,Transaction at Target,914.55,Grocery,UPI,Los Angeles,Credit Card,Debit,Mobile,INR,Online Store,No,Tuesday,January,Night
2025-03-19,Transaction at Target,2405.69,Grocery,Net Banking,Houston,Credit Card,Credit,Mobile,INR,Subscription,Yes,Wednesday,March,Evening
2025-03-30,Transaction at Sony,2174.34,Electronics,Credit Card,Houston,Savings,Credit,POS Terminal,INR,Service,No,Sunday,March,Night
2025-11-24,Transaction at Tesco,2777.54,Grocery,Credit Card,New York,Credit Card,Credit,Desktop,INR,Subscription,No,Monday,November,Afternoon
2025-01-13,Transaction at Samsung,2332.21,Electronics,Cash,Chicago,Current,Credit,POS Terminal,INR,Retail,Yes,Monday,January,Evening
