Date,Description,Amount,Category,PaymentMethod,MerchantType,Month
25-07-2025,Dominos,4138.03,Food,UPI,Restaurant,July
22-06-2025,Samsung,3007.45,Electronics,Net Banking,Subscription,June
08-03-2025,Zara,4661.38,Clothing,Net Banking,Retail,March
18-09-2025,Adidas,3192.44,Clothing,Net Banking,Retail,September
10-09-2025,Uber,444.42,Transport,Credit Card,Online Store,September
05-06-2025,Ola,1075.7,Transport,Debit Card,Retail,June
09-08-2025,YouTube Premium,4904.19,Entertainment,Debit Card,Retail,August
09-02-2025,Walmart,2695.12,Grocery,UPI,Service,February
24-06-2025,Apple,3026.25,Electronics,Cash,Service,June
16-11-2025,Subway,1687.79,Food,Debit Card,Retail,November
05-07-2025,Apple,3196.2,Electronics,UPI,Service,July
15-09-2025,Ola,573.59,Transport,UPI,Retail,September
17-03-2025,Dell,1650.81,Electronics,Net Banking,Restaurant,March
23-01-2025,Starbucks,3237.59,Food,Debit Card,Service,January
08-11-2025,Costco,2263.51,Grocery,Net Banking,Subscription,November
02-01-2025,Sony,3742.85,Electronics,UPI,Online Store,January
11-02-2025,Levis,594.85,Clothing,Credit Card,Subscription,February
24-04-2025,H&M,3340.23,Clothing,Debit Card,Retail,April
15-11-2025,Costco,1056.52,Grocery,UPI,Retail,November
15-02-2025,Uber,1783.14,Transport,Cash,Retail,February
15-02-2025,Lyft,687.77,Transport,UPI,Retail,February
09-08-2025,Walmart,869.09,Grocery,Net Banking,Restaurant,August
12-07-2025,Starbucks,3190.87,Food,UPI,Online Store,July
11-01-2025,Costco,1558.56,Grocery,Credit Card,Retail,January
16-06-2025,HP,131.26,Electronics,Debit Card,Retail,June
20-11-2025,Nike,1751.34,Clothing,UPI,Retail,November
22-10-2025,Netflix,2896.77,Entertainment,Cash,Restaurant,October
28-09-2025,Sony,800.8,Electronics,Net Banking,Subscription,September
20-04-2025,Levis,749.96,Clothing,Net Banking,Online Store,April
31-03-2025,BigBazaar,2089.97,Grocery,Net Banking,Service,March
25-03-2025,Metro,1974.54,Transport,Cash,Online Store,March
06-04-2025,Zara,4650.9,Clothing,UPI,Subscription,April
01-12-2025,Lyft,1258.29,Transport,Debit Card,Online Store,December
01-08-2025,BigBazaar,24.49,Grocery,Cash,Online Store,August
16-06-2025,Disney+,3902.04,Entertainment,Credit Card,Retail,June
18-07-2025,Samsung,242.55,Electronics,Debit Card,Retail,July
25-09-2025,Levis,1525.44,Clothing,Cash,Service,September
14-11-2025,Subway,2248.84,Food,UPI,Retail,November
12-08-2025,McDonalds,1703.23,Food,Credit Card,Service,August
27-11-2025,Dell,263.4,Electronics,Net Banking,Restaurant,November
02-07-2025,Lyft,183.14,Transport,Cash,Online Store,July
12-05-2025,Starbucks,4435.9,Food,UPI,Online Store,May
03-07-2025,Costco,3600.36,Grocery,Debit Card,Retail,July
13-02-2025,RedBus,1419.32,Transport,Debit Card,Subscription,February
22-05-2025,Lyft,4944.86,Transport,Credit Card,Online Store,May
18-03-2025,YouTube Premium,146.47,Entertainment,UPI,Retail,March
20-07-2025,Samsung,1708.72,Electronics,Debit Card,Restaurant,July
15-01-2025,Amazon Prime,3876.1,Entertainment,Debit Card,Restaurant,January
25-08-2025,Disney+,3552.37,Entertainment,UPI,Service,August
14-02-2025,Starbucks,4208.6,Food,Cash,Online Store,February
01-10-2025,Starbucks,3012.62,Food,UPI,Retail,October
20-07-2025,Walmart,219.53,Grocery,Credit Card,Subscription,July
06-11-2025,Ola,294.62,Transport,UPI,Service,November
30-12-2025,Tesco,1171.84,Grocery,UPI,Subscription,December
17-04-2025,Metro,712.96,Transport,Credit Card,Online Store,April
18-01-2025,H&M,330.23,Clothing,Debit Card,Service,January
10-12-2025,YouTube Premium,1629.83,Entertainment,Debit Card,Subscription,December
09-12-2025,Disney+,4231.7,Entertainment,Cash,Restaurant,December
07-04-2025,Metro,2832.86,Transport,Cash,Service,April
16-02-2025,Apple,2835.1,Electronics,UPI,Service,February
28-05-2025,Apple,1448.87,Electronics,UPI,Service,May
11-02-2025,Netflix,1047.87,Entertainment,Net Banking,Retail,February
24-02-2025,Samsung,2500.7,Electronics,UPI,Service,February
23-04-2025,Sony,2031.87,Electronics,Cash,Restaurant,April
05-04-2025,Ola,2889.83,Transport,UPI,Retail,April
30-08-2025,Netflix,279.96,Entertainment,UPI,Online Store,August
06-07-2025,Lyft,4671.54,Transport,Net Banking,Restaurant,July
21-04-2025,Target,2247.03,Grocery,Debit Card,Online Store,April
22-09-2025,Samsung,2409.44,Electronics,Net Banking,Online Store,September
23-11-2025,Disney+,2945.87,Entertainment,Debit Card,Online Store,November
01-04-2025,Starbucks,1414.41,Food,Debit Card,Service,April
25-12-2025,Adidas,3279.81,Clothing,Net Banking,Retail,December
29-05-2025,H&M,915.28,Clothing,Cash,Online Store,May
14-05-2025,McDonalds,3837.9,Food,Debit Card,Retail,May
04-04-2025,KFC,2181.33,Food,Cash,Restaurant,April
01-02-2025,Lyft,2507.24,Transport,Net Banking,Restaurant,February
11-10-2025,Walmart,1305.07,Grocery,Net Banking,Restaurant,October
20-10-2025,Disney+,1641.91,Entertainment,UPI,Retail,October
27-05-2025,Sony,568.54,Electronics,Net Banking,Subscription,May
22-04-2025,BigBazaar,4320.86,Grocery,Debit Card,Retail,April
10-07-2025,Target,3807.65,Grocery,Net Banking,Service,July
23-07-2025,Spotify,3352.8,Entertainment,Debit Card,Service,July
29-11-2025,YouTube Premium,1146.18,Entertainment,Net Banking,Online Store,November
24-05-2025,Amazon Prime,3168.47,Entertainment,Credit Card,Service,May
10-10-2025,HP,3278.51,Electronics,Cash,Service,October
03-11-2025,Ola,4820.1,Transport,UPI,Restaurant,November
19-07-2025,Adidas,2627.04,Clothing,Cash,Online Store,July
02-03-2025,Amazon Prime,3862.71,Entertainment,UPI,Service,March
27-06-2025,Uber,776.1,Transport,Debit Card,Subscription,June
01-12-2025,KFC,3234.26,Food,Net Banking,Subscription,December
25-09-2025,Metro,2749.83,Transport,UPI,Online Store,September
10-10-2025,Disney+,4167.33,Entertainment,Debit Card,Retail,October
20-06-2025,HP,4021.11,Electronics,Net Banking,Online Store,June
28-09-2025,Target,2755.02,Grocery,Debit Card,Subscription,September
23-02-2025,Zara,951.89,Clothing,Net Banking,Service,February
16-05-2025,Starbucks,2856.6,Food,Cash,Service,May
13-12-2025,Target,1200.68,Grocery,Net Banking,Retail,December
27-12-2025,Zara,607.84,Clothing,UPI,Online Store,December
09-09-2025,Disney+,3884.32,Entertainment,Credit Card,Restaurant,September
01-07-2025,Levis,865.16,Clothing,Credit Card,Retail,July
31-12-2025,Spotify,1943.34,Entertainment,Credit Card,Service,December
20-01-2025,KFC,1301.01,Food,Debit Card,Service,January
13-05-2025,Costco,4577.28,Grocery,Debit Card,Subscription,May
14-12-2025,Levis,1935.91,Clothing,Net Banking,Restaurant,December
01-12-2025,Sony,691.47,Electronics,UPI,Subscription,December
21-05-2025,Costco,3043.85,Grocery,Debit Card,Online Store,May
25-02-2025,Zara,1082.58,Clothing,Net Banking,Retail,February
09-01-2025,Lyft,3053.98,Transport,Net Banking,Online Store,January
20-07-2025,Zara,2841.65,Clothing,Credit Card,Restaurant,July
16-01-2025,Zara,936.22,Clothing,Net Banking,Subscription,January
11-11-2025,Sony,983.35,Electronics,Credit Card,Subscription,November
06-08-2025,Disney+,469.95,Entertainment,Cash,Online Store,August
24-11-2025,Dell,58.9,Electronics,Cash,Service,November
26-03-2025,Dominos,3999.11,Food,Debit Card,Restaurant,March
12-02-2025,Target,1753.12,Grocery,Net Banking,Service,February
11-08-2025,HP,1076.08,Electronics,UPI,Retail,August
08-11-2025,Adidas,4667.22,Clothing,Credit Card,Retail,November
19-04-2025,H&M,4419.88,Clothing,Debit Card,Online Store,April
29-10-2025,Tesco,414.06,Grocery,Debit Card,Online Store,October
20-11-2025,Spotify,2258.17,Entertainment,Debit Card,Restaurant,November
03-12-2025,Ola,2089.81,Transport,Credit Card,Retail,December
18-01-2025,Samsung,4289.03,Electronics,Cash,Subscription,January
11-11-2025,Target,12,Grocery,Cash,Subscription,November
16-05-2025,KFC,2042.3,Food,Cash,Restaurant,May
19-11-2025,McDonalds,4839.8,Food,Net Banking,Subscription,November
11-07-2025,Ola,4145.24,Transport,Credit Card,Retail,July
17-02-2025,H&M,622.91,Clothing,Debit Card,Restaurant,February
05-05-2025,Nike,1470.31,Clothing,Credit Card,Online Store,May
23-05-2025,Tesco,3770.09,Grocery,Credit Card,Subscription,May
26-04-2025,Levis,953.38,Clothing,Credit Card,Retail,April
27-06-2025,Disney+,3209.85,Entertainment,Net Banking,Retail,June
21-06-2025,Ola,331.43,Transport,Net Banking,Online Store,June
18-06-2025,Disney+,1626.2,Entertainment,Cash,Restaurant,June
30-11-2025,Disney+,2853.44,Entertainment,Debit Card,Online Store,November
14-04-2025,Sony,535.05,Electronics,Credit Card,Retail,April
24-08-2025,Lyft,2501.25,Transport,UPI,Restaurant,August
16-07-2025,Adidas,4901.47,Clothing,UPI,Service,July
19-04-2025,McDonalds,2346.37,Food,Cash,Subscription,April
07-12-2025,Levis,1202.77,Clothing,Credit Card,Service,December
28-08-2025,Starbucks,3941.86,Food,Credit Card,Retail,August
18-10-2025,Costco,1646.04,Grocery,Net Banking,Restaurant,October
15-06-2025,Netflix,3207.07,Entertainment,Net Banking,Subscription,June
10-10-2025,Sony,314.26,Electronics,Credit Card,Subscription,October
08-12-2025,Dell,471.19,Electronics,UPI,Restaurant,December
03-02-2025,Apple,4940.76,Electronics,Cash,Subscription,February
02-03-2025,Dell,3976.71,Electronics,Credit Card,Service,March
22-04-2025,Sony,3068.2,Electronics,Cash,Service,April
01-04-2025,YouTube Premium,1135.87,Entertainment,Net Banking,Subscription,April
25-05-2025,RedBus,670.86,Transport,Cash,Subscription,May
15-08-2025,Target,2488.69,Grocery,Debit Card,Restaurant,August
15-07-2025,Zara,1246.28,Clothing,Net Banking,Service,July
06-09-2025,YouTube Premium,1171.73,Entertainment,Debit Card,Subscription,September
25-01-2025,Netflix,3613.44,Entertainment,Credit Card,Subscription,January
02-09-2025,Disney+,867.57,Entertainment,Cash,Online Store,September
26-12-2025,Uber,1707.67,Transport,Net Banking,Online Store,December
29-11-2025,Uber,43.8,Transport,Debit Card,Restaurant,November
15-02-2025,Netflix,2602.02,Entertainment,Net Banking,Online Store,February
21-02-2025,BigBazaar,3787.11,Grocery,Debit Card,Retail,February
14-01-2025,Zara,27.9,Clothing,Net Banking,Subscription,January
10-01-2025,Ola,1865.04,Transport,Credit Card,Subscription,January
23-07-2025,Sony,4398.4,Electronics,UPI,Service,July
08-06-2025,HP,4539.11,Electronics,UPI,Online Store,June
04-12-2025,Dominos,3303,Food,Net Banking,Retail,December
29-09-2025,Spotify,4910.24,Entertainment,Cash,Service,September
20-02-2025,Netflix,879.75,Entertainment,Cash,Online Store,February
12-09-2025,Adidas,328.3,Clothing,UPI,Online Store,September
28-02-2025,Spotify,1331.35,Entertainment,Cash,Subscription,February
28-11-2025,Amazon Prime,2770.16,Entertainment,Cash,Restaurant,November
19-10-2025,Spotify,1184.66,Entertainment,Cash,Online Store,October
03-06-2025,Sony,3670.08,Electronics,Credit Card,Retail,June
18-11-2025,Netflix,1667.06,Entertainment,Net Banking,Subscription,November
07-01-2025,Ola,4098.57,Transport,UPI,Subscription,January
04-07-2025,BigBazaar,2431.96,Grocery,Cash,Online Store,July
15-11-2025,Lyft,10.45,Transport,Net Banking,Service,November
06-12-2025,H&M,1353.95,Clothing,Cash,Retail,December
08-02-2025,KFC,3637.97,Food,Net Banking,Restaurant,February
15-04-2025,Lyft,4397.33,Transport,Debit Card,Retail,April
21-05-2025,YouTube Premium,3287.88,Entertainment,Credit Card,Service,May
15-09-2025,Walmart,4004.74,Grocery,Credit Card,Service,September
25-09-2025,Ola,4264.83,Transport,UPI,Online Store,September
09-12-2025,Spotify,531.71,Entertainment,Credit Card,Service,December
14-01-2025,Apple,820.16,Electronics,Credit Card,Retail,January
10-11-2025,Adidas,3106.95,Clothing,Net Banking,Restaurant,November
06-01-2025,Walmart,1430.22,Grocery,UPI,Retail,January
13-10-2025,Nike,3850.84,Clothing,Debit Card,Retail,October
15-04-2025,Walmart,2068.67,Grocery,Debit Card,Service,April
19-04-2025,Apple,2046.5,Electronics,Cash,Online Store,April
23-02-2025,Walmart,277.4,Grocery,Net Banking,Restaurant,February
22-05-2025,Sony,2425.54,Electronics,Credit Card,Restaurant,May
08-02-2025,Subway,3155.7,Food,Debit Card,Restaurant,February
26-08-2025,Lyft,1444.72,Transport,UPI,Restaurant,August
13-04-2025,KFC,2419.2,Food,Credit Card,Online Store,April
18-10-2025,Dominos,3865.52,Food,Cash,Online Store,October
02-09-2025,Lyft,4971.78,Transport,UPI,Restaurant,September
10-04-2025,Ola,4695.62,Transport,Credit Card,Restaurant,April
23-08-2025,Uber,394.28,Transport,Debit Card,Service,August
21-06-2025,Lyft,2368.03,Transport,Cash,Subscription,June
06-10-2025,Zara,731.41,Clothing,Credit Card,Service,October
26-02-2025,KFC,1896.43,Food,Cash,Retail,February
17-02-2025,Apple,2553.72,Electronics,Cash,Service,February
21-07-2025,Target,1075.53,Grocery,Net Banking,Online Store,July
03-05-2025,Ola,4516.78,Transport,Credit Card,Online Store,May
17-08-2025,KFC,2222.06,Food,Credit Card,Subscription,August
29-05-2025,Nike,3008.26,Clothing,Debit Card,Online Store,May
25-08-2025,Dominos,3275.5,Food,Cash,Subscription,August
09-07-2025,Costco,4365.09,Grocery,UPI,Service,July
22-11-2025,Disney+,1674.64,Entertainment,Debit Card,Online Store,November
01-10-2025,Dell,2585.64,Electronics,Cash,Subscription,October
17-03-2025,Subway,1009.62,Food,UPI,Subscription,March
12-02-2025,Tesco,3456.97,Grocery,Debit Card,Restaurant,February
14-05-2025,Target,1050.91,Grocery,Cash,Restaurant,May
05-12-2025,RedBus,4303.56,Transport,Debit Card,Restaurant,December
18-04-2025,Metro,2212.91,Transport,UPI,Restaurant,April
22-09-2025,YouTube Premium,85.41,Entertainment,UPI,Retail,September
25-06-2025,Uber,2880.28,Transport,Cash,Restaurant,June
08-04-2025,Netflix,3671.06,Entertainment,Net Banking,Service,April
15-06-2025,Target,2289.44,Grocery,Cash,Online Store,June
23-06-2025,Adidas,1611.77,Clothing,Cash,Retail,June
10-01-2025,Zara,3014.29,Clothing,Debit Card,Subscription,January
09-04-2025,McDonalds,4173.29,Food,Net Banking,Service,April
22-04-2025,H&M,3410.93,Clothing,Cash,Service,April
29-03-2025,YouTube Premium,3227.25,Entertainment,Cash,Restaurant,March
24-04-2025,H&M,3460.63,Clothing,Credit Card,Restaurant,April
04-06-2025,Dell,4996.3,Electronics,UPI,Restaurant,June
01-09-2025,Lyft,4461.52,Transport,Debit Card,Restaurant,September
03-02-2025,Spotify,1319.85,Entertainment,Net Banking,Service,February
27-02-2025,Levis,1496,Clothing,Debit Card,Service,February
21-06-2025,RedBus,594.49,Transport,UPI,Retail,June
22-10-2025,McDonalds,1924.31,Food,Cash,Restaurant,October
15-10-2025,Dell,2670.82,Electronics,Debit Card,Online Store,October
10-10-2025,Amazon Prime,1554.49,Entertainment,UPI,Restaurant,October
08-08-2025,Nike,4412.18,Clothing,Cash,Online Store,August
08-02-2025,Adidas,3515.33,Clothing,Cash,Restaurant,February
24-01-2025,Ola,471.56,Transport,Debit Card,Online Store,January
17-10-2025,Metro,418.04,Transport,Net Banking,Online Store,October
14-07-2025,Nike,2464.32,Clothing,Debit Card,Online Store,July
13-09-2025,Walmart,2158.24,Grocery,Credit Card,Subscription,September
25-03-2025,Metro,1044.19,Transport,Cash,Retail,March
03-08-2025,Uber,944.86,Transport,Debit Card,Retail,August
27-03-2025,BigBazaar,449.21,Grocery,Net Banking,Retail,March
16-08-2025,RedBus,1592.41,Transport,Net Banking,Service,August
29-01-2025,Amazon Prime,4139.27,Entertainment,Cash,Retail,January
16-05-2025,Dominos,3983.7,Food,UPI,Service,May
04-08-2025,Apple,4464.1,Electronics,Cash,Retail,August
13-04-2025,Sony,1196.47,Electronics,Debit Card,Retail,April
18-12-2025,H&M,702.42,Clothing,Credit Card,Retail,December
25-12-2025,Amazon Prime,348.15,Entertainment,Net Banking,Subscription,December
07-10-2025,BigBazaar,853.93,Grocery,UPI,Retail,October
02-09-2025,KFC,2717.85,Food,Cash,Service,September
17-08-2025,Levis,880.14,Clothing,Credit Card,Restaurant,August
23-09-2025,Levis,2847.8,Clothing,UPI,Subscription,September
18-02-2025,KFC,2135.87,Food,Cash,Service,February
08-08-2025,Spotify,3532,Entertainment,Net Banking,Online Store,August
08-01-2025,Tesco,481.02,Grocery,Credit Card,Online Store,January
17-07-2025,Dominos,924.43,Food,Net Banking,Online Store,July
15-06-2025,Uber,121.15,Transport,Credit Card,Restaurant,June
04-05-2025,Nike,1699.9,Clothing,Credit Card,Retail,May
29-11-2025,Disney+,431.87,Entertainment,UPI,Service,November
03-09-2025,Costco,2256.68,Grocery,Debit Card,Service,September
20-01-2025,Metro,4298.11,Transport,Debit Card,Service,January
24-02-2025,Disney+,2246.77,Entertainment,Debit Card,Online Store,February
02-08-2025,Target,1903.37,Grocery,Net Banking,Restaurant,August
11-09-2025,H&M,4508.72,Clothing,Net Banking,Subscription,September
08-02-2025,Dell,3642.03,Electronics,Net Banking,Restaurant,February
11-04-2025,Lyft,1999.96,Transport,UPI,Online Store,April
04-08-2025,Ola,2751.44,Transport,Debit Card,Retail,August
19-02-2025,Sony,1762.63,Electronics,UPI,Service,February
06-08-2025,BigBazaar,639.09,Grocery,Net Banking,Subscription,August
17-10-2025,Target,4052.5,Grocery,Credit Card,Retail,October
30-01-2025,Netflix,386.67,Entertainment,Cash,Service,January
15-11-2025,Target,3865.35,Grocery,Net Banking,Restaurant,November
27-01-2025,Costco,1829.41,Grocery,Credit Card,Online Store,January
30-09-2025,Sony,1435.62,Electronics,Net Banking,Subscription,September
10-04-2025,RedBus,221.6,Transport,Debit Card,Online Store,April
09-12-2025,Starbucks,1338.06,Food,UPI,Service,December
27-03-2025,Walmart,1215.11,Grocery,UPI,Restaurant,March
17-11-2025,Ola,1942.85,Transport,Credit Card,Subscription,November
09-11-2025,Disney+,2054.91,Entertainment,Cash,Subscription,November
06-08-2025,Disney+,3276.49,Entertainment,Cash,Online Store,August
14-04-2025,Disney+,3619.48,Entertainment,Credit Card,Service,April
29-04-2025,Amazon Prime,741.05,Entertainment,Debit Card,Restaurant,April
09-05-2025,KFC,2947.63,Food,Cash,Online Store,May
21-10-2025,Netflix,2631.06,Entertainment,Cash,Restaurant,October
29-05-2025,Apple,1222,Electronics,UPI,Online Store,May
13-06-2025,Lyft,4347.99,Transport,Debit Card,Retail,June
23-04-2025,YouTube Premium,2391.48,Entertainment,Credit Card,Retail,April
14-04-2025,Costco,1290.1,Grocery,Cash,Online Store,April
19-12-2025,Dominos,4545.59,Food,Debit Card,Retail,December
15-08-2025,Dell,1543.09,Electronics,UPI,Online Store,August
08-02-2025,Subway,253.18,Food,UPI,Restaurant,February
02-12-2025,Spotify,2153.09,Entertainment,UPI,Online Store,December
12-02-2025,Nike,381.92,Clothing,Credit Card,Restaurant,February
14-03-2025,Target,756.1,Grocery,Cash,Service,March
23-10-2025,McDonalds,409.29,Food,Credit Card,Online Store,October
26-02-2025,Lyft,1527.41,Transport,Cash,Retail,February
14-09-2025,Lyft,4875.89,Transport,Net Banking,Service,September
26-07-2025,Uber,2798.71,Transport,Cash,Online Store,July
28-07-2025,KFC,4942.8,Food,Debit Card,Online Store,July
03-09-2025,McDonalds,474.47,Food,Debit Card,Subscription,September
01-11-2025,BigBazaar,924.06,Grocery,Cash,Subscription,November
26-11-2025,Starbucks,3447.85,Food,Debit Card,Restaurant,November
30-09-2025,Apple,4669.8,Electronics,Cash,Subscription,September
08-10-2025,Zara,3763.87,Clothing,UPI,Service,October
05-01-2025,KFC,3386.14,Food,Cash,Restaurant,January
08-02-2025,Sony,3158.29,Electronics,Cash,Retail,February
10-07-2025,McDonalds,4709.8,Food,Cash,Service,July
03-02-2025,Amazon Prime,4626.04,Entertainment,UPI,Service,February
23-05-2025,KFC,236.51,Food,Debit Card,Subscription,May
29-12-2025,KFC,4758.12,Food,UPI,Online Store,December
31-05-2025,Zara,4502.82,Clothing,Credit Card,Restaurant,May
06-10-2025,Metro,2962.13,Transport,Debit Card,Service,October
31-10-2025,Tesco,962.45,Grocery,Net Banking,Subscription,October
05-05-2025,Walmart,4606.55,Grocery,Net Banking,Service,May
11-09-2025,YouTube Premium,4203.74,Entertainment,Cash,Subscription,September
21-08-2025,Sony,767,Electronics,Net Banking,Restaurant,August
23-06-2025,Subway,882.2,Food,Credit Card,Service,June
09-02-2025,Walmart,3727.79,Grocery,UPI,Subscription,February
30-12-2025,Apple,1493.25,Electronics,Credit Card,Retail,December
09-02-2025,Netflix,4358.42,Entertainment,Net Banking,Subscription,February
04-07-2025,Walmart,2083.46,Grocery,Net Banking,Restaurant,July
15-06-2025,Dominos,3433.7,Food,Debit Card,Subscription,June
25-05-2025,Sony,281.32,Electronics,Credit Card,Online Store,May
08-09-2025,Ola,1819.35,Transport,Credit Card,Subscription,September
18-07-2025,RedBus,4499.33,Transport,Credit Card,Service,July
13-05-2025,Costco,4531.29,Grocery,Credit Card,Service,May
22-06-2025,Tesco,4132.56,Grocery,Credit Card,Service,June
03-03-2025,Target,2862.53,Grocery,UPI,Service,March
25-03-2025,Tesco,645.72,Grocery,UPI,Retail,March
17-03-2025,Metro,1792.7,Transport,Credit Card,Online Store,March
18-01-2025,Spotify,169.75,Entertainment,Net Banking,Restaurant,January
24-06-2025,Walmart,4287.87,Grocery,UPI,Online Store,June
13-12-2025,Subway,2046.83,Food,Net Banking,Online Store,December
21-02-2025,Nike,541.71,Clothing,Cash,Restaurant,February
05-01-2025,YouTube Premium,1020.31,Entertainment,Credit Card,Service,January
12-06-2025,Ola,1594.54,Transport,Cash,Subscription,June
19-03-2025,Amazon Prime,4093.83,Entertainment,Cash,Service,March
21-06-2025,Levis,1885.8,Clothing,Cash,Service,June
22-06-2025,Adidas,899.06,Clothing,UPI,Service,June
03-06-2025,Starbucks,2510.06,Food,Cash,Retail,June
22-08-2025,Nike,4800.87,Clothing,UPI,Service,August
14-02-2025,Tesco,2388.37,Grocery,Cash,Service,February
09-07-2025,Sony,4839.83,Electronics,Cash,Service,July
13-08-2025,Levis,4691.8,Clothing,Debit Card,Retail,August
21-11-2025,BigBazaar,4707.98,Grocery,Credit Card,Subscription,November
17-12-2025,Dell,2960.45,Electronics,Debit Card,Restaurant,December
18-02-2025,KFC,1830.15,Food,Cash,Retail,February
08-12-2025,Dell,1180.45,Electronics,UPI,Retail,December
04-09-2025,Metro,2131.71,Transport,Cash,Subscription,September
30-01-2025,Netflix,2187.33,Entertainment,Debit Card,Subscription,January
12-03-2025,Disney+,803.43,Entertainment,Debit Card,Service,March
13-06-2025,YouTube Premium,3965.86,Entertainment,Cash,Service,June
13-10-2025,Spotify,1422.37,Entertainment,UPI,Subscription,October
09-02-2025,McDonalds,2746.24,Food,Credit Card,Service,February
25-01-2025,YouTube Premium,2197.06,Entertainment,Net Banking,Service,January
30-09-2025,Metro,1579.98,Transport,Debit Card,Restaurant,September
06-08-2025,Subway,438.65,Food,Debit Card,Subscription,August
26-09-2025,Nike,319.48,Clothing,Cash,Online Store,September
14-02-2025,Nike,3330.9,Clothing,Credit Card,Restaurant,February
15-12-2025,Subway,107.8,Food,Credit Card,Retail,December
17-03-2025,Sony,168.51,Electronics,Debit Card,Online Store,March
01-10-2025,Costco,4437.8,Grocery,Net Banking,Subscription,October
13-04-2025,KFC,4931.16,Food,Debit Card,Restaurant,April
21-07-2025,McDonalds,254.4,Food,Debit Card,Subscription,July
10-11-2025,Walmart,3251.01,Grocery,Net Banking,Online Store,November
30-06-2025,Levis,1757.96,Clothing,Credit Card,Restaurant,June
05-09-2025,Subway,122.9,Food,Cash,Subscription,September
20-10-2025,Target,1736.02,Grocery,Net Banking,Service,October
29-12-2025,Dell,4079.31,Electronics,Cash,Retail,December
25-10-2025,Walmart,1454.26,Grocery,Debit Card,Service,October
18-02-2025,Netflix,2718.87,Entertainment,Net Banking,Restaurant,February
03-10-2025,Adidas,699.58,Clothing,UPI,Subscription,October
29-03-2025,Disney+,2232.98,Entertainment,Net Banking,Service,March
10-02-2025,Netflix,4805.66,Entertainment,Debit Card,Subscription,February
13-01-2025,Adidas,4235.54,Clothing,Debit Card,Online Store,January
27-12-2025,Adidas,974.88,Clothing,UPI,Online Store,December
13-11-2025,Nike,4090.09,Clothing,Cash,Restaurant,November
31-03-2025,Costco,2764.71,Grocery,Cash,Retail,March
13-09-2025,Target,635.42,Grocery,UPI,Service,September
27-10-2025,Costco,625.52,Grocery,Cash,Subscription,October
19-01-2025,Walmart,1668.8,Grocery,Credit Card,Restaurant,January
21-07-2025,Ola,2094.24,Transport,Cash,Online Store,July
25-08-2025,Starbucks,963.29,Food,Credit Card,Restaurant,August
10-12-2025,Dominos,4342.32,Food,Cash,Restaurant,December
07-04-2025,Samsung,2815.13,Electronics,Net Banking,Retail,April
08-08-2025,Uber,4978.78,Transport,UPI,Online Store,August
03-09-2025,Target,1255.28,Grocery,Debit Card,Service,September
05-12-2025,HP,2510.74,Electronics,Debit Card,Service,December
19-08-2025,Zara,2704.06,Clothing,Net Banking,Online Store,August
24-11-2025,McDonalds,995.69,Food,Debit Card,Retail,November
23-03-2025,McDonalds,2572.3,Food,Credit Card,Subscription,March
07-12-2025,McDonalds,3980.14,Food,Cash,Subscription,December
05-06-2025,Costco,2108.59,Grocery,Debit Card,Subscription,June
11-12-2025,Netflix,1743.67,Entertainment,Net Banking,Restaurant,December
06-12-2025,Disney+,936.23,Entertainment,Cash,Service,December
22-05-2025,Dell,2570.96,Electronics,UPI,Restaurant,May
26-05-2025,Adidas,1915.92,Clothing,Credit Card,Restaurant,May
24-05-2025,Ola,35.67,Transport,UPI,Retail,May
11-11-2025,BigBazaar,3859.84,Grocery,Net Banking,Subscription,November
20-02-2025,Apple,4237.35,Electronics,Cash,Online Store,February
15-08-2025,Costco,1581.73,Grocery,Credit Card,Subscription,August
09-05-2025,Target,2724.6,Grocery,UPI,Online Store,May
31-10-2025,Nike,4205.24,Clothing,Net Banking,Online Store,October
16-09-2025,Uber,2820.03,Transport,UPI,Service,September
25-02-2025,YouTube Premium,2026.21,Entertainment,UPI,Retail,February
10-07-2025,Dell,3378.88,Electronics,UPI,Service,July
10-11-2025,RedBus,1681.9,Transport,Net Banking,Restaurant,November
21-12-2025,Ola,3370.51,Transport,Net Banking,Online Store,December
26-07-2025,Uber,1237.91,Transport,Net Banking,Service,July
01-05-2025,Walmart,1850.15,Grocery,Credit Card,Service,May
23-04-2025,Walmart,1318.24,Grocery,Cash,Restaurant,April
21-07-2025,McDonalds,1179.91,Food,Credit Card,Subscription,July
21-10-2025,BigBazaar,4581.8,Grocery,Cash,Online Store,October
07-04-2025,Target,3546.44,Grocery,Credit Card,Service,April
26-06-2025,Dell,1239.78,Electronics,UPI,Restaurant,June
25-01-2025,HP,2262.69,Electronics,Cash,Online Store,January
10-12-2025,McDonalds,2127.13,Food,Credit Card,Subscription,December
11-10-2025,HP,543.6,Electronics,Cash,Subscription,October
05-06-2025,Subway,4827.79,Food,Net Banking,Retail,June
19-04-2025,Amazon Prime,651.51,Entertainment,Debit Card,Retail,April
16-05-2025,YouTube Premium,3228.79,Entertainment,Debit Card,Restaurant,May
26-03-2025,Costco,1107.38,Grocery,Cash,Subscription,March
14-08-2025,McDonalds,409.05,Food,UPI,Retail,August
13-12-2025,Target,3246.59,Grocery,Net Banking,Online Store,December
28-01-2025,Subway,2034.07,Food,Net Banking,Service,January
13-02-2025,KFC,1629.8,Food,Credit Card,Service,February
